,true,preds,dif
378,0.0,447.22678,-447.23
379,0.0,472.89832,-472.9
380,0.0,537.98663,-537.99
381,0.0,633.59644,-633.6
382,0.0,668.634,-668.63
383,0.0,635.7504,-635.75
384,0.0,556.67816,-556.68
385,0.0,512.48486,-512.48
386,0.0,430.0041,-430.0
387,0.0,314.20575,-314.21
388,0.0,217.96812,-217.97
389,0.0,156.79785,-156.8
390,0.0,130.21358,-130.21
391,0.0,206.8751,-206.88
392,0.0,428.09717,-428.1
393,0.0,389.0286,-389.03
394,0.0,362.10507,-362.11
395,0.0,375.0807,-375.08
396,0.0,379.96927,-379.97
397,0.0,402.01257,-402.01
398,0.0,407.26996,-407.27
399,0.0,388.93088,-388.93
400,0.0,379.94232,-379.94
401,0.0,365.55975,-365.56
402,0.0,371.60416,-371.6
403,0.0,398.7022,-398.7
404,0.0,423.90256,-423.9
405,0.0,464.26202,-464.26
406,0.0,498.28055,-498.28
407,0.0,527.62506,-527.63
408,0.0,542.0919,-542.09
409,0.0,574.5808,-574.58
410,0.0,574.36664,-574.37
411,0.0,561.7194,-561.72
412,0.0,572.88104,-572.88
413,0.0,566.876,-566.88
414,0.0,559.9464,-559.95
415,0.0,563.7278,-563.73
416,0.0,572.36035,-572.36
417,0.0,571.5017,-571.5
418,0.0,576.711,-576.71
419,0.0,575.2748,-575.27
420,0.0,568.8038,-568.8
421,0.0,561.6641,-561.66
422,0.0,561.9657,-561.97
423,0.0,558.6125,-558.61
424,0.0,560.0421,-560.04
425,0.0,566.76886,-566.77
426,0.0,557.1546,-557.15
427,0.0,556.7754,-556.78
428,0.0,555.2362,-555.24
429,0.0,548.54095,-548.54
430,0.0,533.59814,-533.6
431,0.0,521.4594,-521.46
432,0.0,522.5968,-522.6
433,0.0,501.19952,-501.2
434,0.0,492.32263,-492.32
435,0.0,493.1184,-493.12
436,0.0,482.60413,-482.6
437,0.0,481.12277,-481.12
438,0.0,487.10156,-487.1
439,0.0,449.64987,-449.65
440,0.0,407.7006,-407.7
441,0.0,365.84137,-365.84
442,0.0,227.09766,-227.1
443,0.0,150.39615,-150.4
444,0.0,113.10545,-113.11
445,0.0,91.02205,-91.02
446,0.0,88.110596,-88.11
447,0.0,78.880905,-78.88
448,0.0,70.11646,-70.12
449,0.0,62.66767,-62.67
450,0.0,55.6222,-55.62
451,0.0,49.12234,-49.12
452,0.0,42.228466,-42.23
453,0.0,38.883358,-38.88
454,0.0,29.14276,-29.14
455,0.0,32.26569,-32.27
456,0.0,30.636492,-30.64
457,0.0,26.002544,-26.0
458,0.0,23.142664,-23.14
